model_id,L,k,rank_HZ,rank_HX,z_checks_csv,x_checks_csv,z_rows,x_rows
L13_model_01,13,2,2196,2196,L13/L13_model_01/z_checks.csv,L13/L13_model_01/x_checks.csv,2197,2197
L13_model_02,13,2,2196,2196,L13/L13_model_02/z_checks.csv,L13/L13_model_02/x_checks.csv,2197,2197
L13_model_03,13,2,2196,2196,L13/L13_model_03/z_checks.csv,L13/L13_model_03/x_checks.csv,2197,2197
L13_model_04,13,2,2196,2196,L13/L13_model_04/z_checks.csv,L13/L13_model_04/x_checks.csv,2197,2197
L13_model_05,13,2,2196,2196,L13/L13_model_05/z_checks.csv,L13/L13_model_05/x_checks.csv,2197,2197
L13_model_06,13,2,2196,2196,L13/L13_model_06/z_checks.csv,L13/L13_model_06/x_checks.csv,2197,2197
L13_model_07,13,2,2196,2196,L13/L13_model_07/z_checks.csv,L13/L13_model_07/x_checks.csv,2197,2197
L13_model_08,13,2,2196,2196,L13/L13_model_08/z_checks.csv,L13/L13_model_08/x_checks.csv,2197,2197
L13_model_09,13,2,2196,2196,L13/L13_model_09/z_checks.csv,L13/L13_model_09/x_checks.csv,2197,2197
L13_model_10,13,2,2196,2196,L13/L13_model_10/z_checks.csv,L13/L13_model_10/x_checks.csv,2197,2197
L13_model_11,13,2,2196,2196,L13/L13_model_11/z_checks.csv,L13/L13_model_11/x_checks.csv,2197,2197
L13_model_12,13,2,2196,2196,L13/L13_model_12/z_checks.csv,L13/L13_model_12/x_checks.csv,2197,2197
L13_model_13,13,2,2196,2196,L13/L13_model_13/z_checks.csv,L13/L13_model_13/x_checks.csv,2197,2197
L13_model_14,13,2,2196,2196,L13/L13_model_14/z_checks.csv,L13/L13_model_14/x_checks.csv,2197,2197
L13_model_15,13,2,2196,2196,L13/L13_model_15/z_checks.csv,L13/L13_model_15/x_checks.csv,2197,2197
L13_model_16,13,2,2196,2196,L13/L13_model_16/z_checks.csv,L13/L13_model_16/x_checks.csv,2197,2197
L13_model_17,13,2,2196,2196,L13/L13_model_17/z_checks.csv,L13/L13_model_17/x_checks.csv,2197,2197
L13_model_18,13,2,2196,2196,L13/L13_model_18/z_checks.csv,L13/L13_model_18/x_checks.csv,2197,2197
L13_model_19,13,2,2196,2196,L13/L13_model_19/z_checks.csv,L13/L13_model_19/x_checks.csv,2197,2197
L13_model_20,13,2,2196,2196,L13/L13_model_20/z_checks.csv,L13/L13_model_20/x_checks.csv,2197,2197
L13_model_21,13,2,2196,2196,L13/L13_model_21/z_checks.csv,L13/L13_model_21/x_checks.csv,2197,2197
L13_model_22,13,2,2196,2196,L13/L13_model_22/z_checks.csv,L13/L13_model_22/x_checks.csv,2197,2197
L13_model_23,13,2,2196,2196,L13/L13_model_23/z_checks.csv,L13/L13_model_23/x_checks.csv,2197,2197
L13_model_24,13,2,2196,2196,L13/L13_model_24/z_checks.csv,L13/L13_model_24/x_checks.csv,2197,2197
L13_model_25,13,2,2196,2196,L13/L13_model_25/z_checks.csv,L13/L13_model_25/x_checks.csv,2197,2197
L13_model_26,13,2,2196,2196,L13/L13_model_26/z_checks.csv,L13/L13_model_26/x_checks.csv,2197,2197
L13_model_27,13,2,2196,2196,L13/L13_model_27/z_checks.csv,L13/L13_model_27/x_checks.csv,2197,2197
L13_model_28,13,2,2196,2196,L13/L13_model_28/z_checks.csv,L13/L13_model_28/x_checks.csv,2197,2197
L13_model_29,13,2,2196,2196,L13/L13_model_29/z_checks.csv,L13/L13_model_29/x_checks.csv,2197,2197
L13_model_30,13,2,2196,2196,L13/L13_model_30/z_checks.csv,L13/L13_model_30/x_checks.csv,2197,2197
L13_model_31,13,2,2196,2196,L13/L13_model_31/z_checks.csv,L13/L13_model_31/x_checks.csv,2197,2197
L13_model_32,13,2,2196,2196,L13/L13_model_32/z_checks.csv,L13/L13_model_32/x_checks.csv,2197,2197
L13_model_33,13,2,2196,2196,L13/L13_model_33/z_checks.csv,L13/L13_model_33/x_checks.csv,2197,2197
L13_model_34,13,2,2196,2196,L13/L13_model_34/z_checks.csv,L13/L13_model_34/x_checks.csv,2197,2197
L13_model_35,13,2,2196,2196,L13/L13_model_35/z_checks.csv,L13/L13_model_35/x_checks.csv,2197,2197
L13_model_36,13,2,2196,2196,L13/L13_model_36/z_checks.csv,L13/L13_model_36/x_checks.csv,2197,2197
L13_model_37,13,2,2196,2196,L13/L13_model_37/z_checks.csv,L13/L13_model_37/x_checks.csv,2197,2197
L13_model_38,13,2,2196,2196,L13/L13_model_38/z_checks.csv,L13/L13_model_38/x_checks.csv,2197,2197
L13_model_39,13,2,2196,2196,L13/L13_model_39/z_checks.csv,L13/L13_model_39/x_checks.csv,2197,2197
L13_model_40,13,2,2196,2196,L13/L13_model_40/z_checks.csv,L13/L13_model_40/x_checks.csv,2197,2197
L13_model_41,13,2,2196,2196,L13/L13_model_41/z_checks.csv,L13/L13_model_41/x_checks.csv,2197,2197
L13_model_42,13,2,2196,2196,L13/L13_model_42/z_checks.csv,L13/L13_model_42/x_checks.csv,2197,2197
L13_model_43,13,2,2196,2196,L13/L13_model_43/z_checks.csv,L13/L13_model_43/x_checks.csv,2197,2197
L13_model_44,13,2,2196,2196,L13/L13_model_44/z_checks.csv,L13/L13_model_44/x_checks.csv,2197,2197
L13_model_45,13,2,2196,2196,L13/L13_model_45/z_checks.csv,L13/L13_model_45/x_checks.csv,2197,2197
L13_model_46,13,2,2196,2196,L13/L13_model_46/z_checks.csv,L13/L13_model_46/x_checks.csv,2197,2197
L13_model_47,13,2,2196,2196,L13/L13_model_47/z_checks.csv,L13/L13_model_47/x_checks.csv,2197,2197
L13_model_48,13,2,2196,2196,L13/L13_model_48/z_checks.csv,L13/L13_model_48/x_checks.csv,2197,2197
L13_model_49,13,2,2196,2196,L13/L13_model_49/z_checks.csv,L13/L13_model_49/x_checks.csv,2197,2197
L13_model_50,13,2,2196,2196,L13/L13_model_50/z_checks.csv,L13/L13_model_50/x_checks.csv,2197,2197
L14_model_01,14,4,2742,2742,L14/L14_model_01/z_checks.csv,L14/L14_model_01/x_checks.csv,2744,2744
L14_model_02,14,4,2742,2742,L14/L14_model_02/z_checks.csv,L14/L14_model_02/x_checks.csv,2744,2744
L14_model_03,14,4,2742,2742,L14/L14_model_03/z_checks.csv,L14/L14_model_03/x_checks.csv,2744,2744
L14_model_04,14,4,2742,2742,L14/L14_model_04/z_checks.csv,L14/L14_model_04/x_checks.csv,2744,2744
L14_model_05,14,4,2742,2742,L14/L14_model_05/z_checks.csv,L14/L14_model_05/x_checks.csv,2744,2744
L14_model_06,14,4,2742,2742,L14/L14_model_06/z_checks.csv,L14/L14_model_06/x_checks.csv,2744,2744
L14_model_07,14,4,2742,2742,L14/L14_model_07/z_checks.csv,L14/L14_model_07/x_checks.csv,2744,2744
L14_model_08,14,4,2742,2742,L14/L14_model_08/z_checks.csv,L14/L14_model_08/x_checks.csv,2744,2744
L14_model_09,14,4,2742,2742,L14/L14_model_09/z_checks.csv,L14/L14_model_09/x_checks.csv,2744,2744
L14_model_10,14,4,2742,2742,L14/L14_model_10/z_checks.csv,L14/L14_model_10/x_checks.csv,2744,2744
L14_model_11,14,4,2742,2742,L14/L14_model_11/z_checks.csv,L14/L14_model_11/x_checks.csv,2744,2744
L14_model_12,14,4,2742,2742,L14/L14_model_12/z_checks.csv,L14/L14_model_12/x_checks.csv,2744,2744
L14_model_13,14,4,2742,2742,L14/L14_model_13/z_checks.csv,L14/L14_model_13/x_checks.csv,2744,2744
L14_model_14,14,4,2742,2742,L14/L14_model_14/z_checks.csv,L14/L14_model_14/x_checks.csv,2744,2744
L14_model_15,14,4,2742,2742,L14/L14_model_15/z_checks.csv,L14/L14_model_15/x_checks.csv,2744,2744
L14_model_16,14,4,2742,2742,L14/L14_model_16/z_checks.csv,L14/L14_model_16/x_checks.csv,2744,2744
L14_model_17,14,4,2742,2742,L14/L14_model_17/z_checks.csv,L14/L14_model_17/x_checks.csv,2744,2744
L14_model_18,14,4,2742,2742,L14/L14_model_18/z_checks.csv,L14/L14_model_18/x_checks.csv,2744,2744
L14_model_19,14,4,2742,2742,L14/L14_model_19/z_checks.csv,L14/L14_model_19/x_checks.csv,2744,2744
L14_model_20,14,4,2742,2742,L14/L14_model_20/z_checks.csv,L14/L14_model_20/x_checks.csv,2744,2744
L14_model_21,14,4,2742,2742,L14/L14_model_21/z_checks.csv,L14/L14_model_21/x_checks.csv,2744,2744
L14_model_22,14,4,2742,2742,L14/L14_model_22/z_checks.csv,L14/L14_model_22/x_checks.csv,2744,2744
L14_model_23,14,4,2742,2742,L14/L14_model_23/z_checks.csv,L14/L14_model_23/x_checks.csv,2744,2744
